transaction_id,timestamp,payment_method,amount,currency,merchant,region,customer_id,is_fraud
9375e15a,2026-09-01 00:13:00,Card,265.08,EUR,Fashion Outlet,Northern Europe,CUST-8830,0
ef30ee9d,2026-09-01 00:17:00,ACH,501.09,USD,Shopify Store,Northern Europe,CUST-2209,0
aadbb9a8,2026-09-01 00:32:00,ACH,355.26,EUR,Grocery Mart,North America,CUST-9323,0
a73340ad,2026-09-01 00:37:00,Wallet,646.94,USD,Electronics Hub,North America,CUST-3597,0
ef9b0b57,2026-09-01 00:43:00,Card,566.49,EUR,Amazon,Western Europe,CUST-6143,0
f50c1583,2026-09-01 00:54:00,Wallet,233.79,EUR,Fashion Outlet,Southern Europe,CUST-5154,0
fcd38094,2026-09-01 00:57:00,ACH,620.27,USD,Electronics Hub,Western Europe,CUST-3948,0
2d0e3aec,2026-09-01 00:59:00,Wallet,687.08,USD,Amazon,Northern Europe,CUST-7387,0
411f7691,2026-09-01 01:05:00,Wallet,329.07,USD,Electronics Hub,North America,CUST-7640,0
e198720d,2026-09-01 01:10:00,Card,426.28,EUR,Spotify,North America,CUST-4884,0
533e554b,2026-09-01 01:15:00,ACH,357.97,USD,Electronics Hub,Eastern Europe,CUST-2173,0
40640125,2026-09-01 01:21:00,Card,98.86,USD,Shopify Store,Northern Europe,CUST-4716,0
b31666ee,2026-09-01 01:30:00,ACH,425.95,EUR,Fashion Outlet,Western Europe,CUST-7665,0
a4a37f66,2026-09-01 01:31:00,Card,641.08,USD,Netflix,North America,CUST-4225,0
24b262c2,2026-09-01 01:33:00,ACH,657.28,EUR,Netflix,Eastern Europe,CUST-3289,0
f119d7cb,2026-09-01 01:36:00,ACH,563.32,EUR,GameStore,Southern Europe,CUST-3306,0
a8a30420,2026-09-01 01:42:00,Wallet,594.44,EUR,Travel Booking,Southern Europe,CUST-2141,0
fa95ca1b,2026-09-01 01:45:00,ACH,172.01,USD,Local Coffee Shop,Eastern Europe,CUST-5230,0
85b7675c,2026-09-01 01:49:00,Wallet,339.47,EUR,Spotify,Eastern Europe,CUST-3503,0
4840e9ac,2026-09-01 01:49:00,Card,774.51,EUR,Shopify Store,North America,CUST-6397,0
2243dff0,2026-09-01 01:54:00,Card,496.1,EUR,Uber,North America,CUST-7965,0
623d5c8f,2026-09-01 01:58:00,Wallet,84.41,EUR,Shopify Store,Northern Europe,CUST-6824,0
23c722f6,2026-09-01 02:08:00,Card,167.45,USD,Uber,Southern Europe,CUST-8192,0
462430b9,2026-09-01 02:14:00,Card,732.73,EUR,Netflix,North America,CUST-6374,0
4cbc28d5,2026-09-01 02:33:00,ACH,642.53,EUR,Spotify,Northern Europe,CUST-2209,0
eac7fb93,2026-09-01 02:35:00,Card,676.36,EUR,Travel Booking,Eastern Europe,CUST-3730,0
cd35b4ae,2026-09-01 02:36:00,ACH,424.85,USD,Amazon,Northern Europe,CUST-3755,0
07acc529,2026-09-01 02:37:00,ACH,689.23,EUR,Uber,Western Europe,CUST-1239,0
7a6f331a,2026-09-01 02:44:00,Wallet,552.43,USD,Pharmacy Plus,Western Europe,CUST-2274,0
031c78ac,2026-09-01 02:48:00,Wallet,666.84,EUR,GameStore,Northern Europe,CUST-3624,0
e8dfe970,2026-09-01 02:48:00,ACH,301.39,USD,Travel Booking,Eastern Europe,CUST-7180,0
d456c70f,2026-09-01 02:52:00,Wallet,287.89,USD,Pharmacy Plus,Northern Europe,CUST-9778,0
67133a44,2026-09-01 02:53:00,Card,397.11,EUR,Uber,North America,CUST-3290,0
7f6c55f1,2026-09-01 02:57:00,Card,266.71,USD,Spotify,Western Europe,CUST-9916,0
7af85131,2026-09-01 03:01:00,ACH,522.66,USD,Travel Booking,Southern Europe,CUST-6438,0
4a72be4c,2026-09-01 03:01:00,Card,366.91,USD,Pharmacy Plus,Eastern Europe,CUST-4315,0
85455a4e,2026-09-01 03:02:00,Card,328.3,EUR,Local Coffee Shop,Eastern Europe,CUST-6602,0
c1ff4383,2026-09-01 03:02:00,ACH,16.91,EUR,Shopify Store,North America,CUST-7414,0
25e66826,2026-09-01 03:05:00,Card,304.89,USD,Shopify Store,Eastern Europe,CUST-4681,0
dec467e2,2026-09-01 03:09:00,ACH,407.44,USD,Shopify Store,North America,CUST-7882,0
234d460a,2026-09-01 03:21:00,Card,71.11,EUR,Local Coffee Shop,Western Europe,CUST-6823,0
0e431184,2026-09-01 03:28:00,ACH,464.74,EUR,Travel Booking,Western Europe,CUST-2061,0
a76a709d,2026-09-01 03:30:00,ACH,348.45,USD,Spotify,Northern Europe,CUST-7391,0
24f36016,2026-09-01 03:34:00,Wallet,243.1,USD,Travel Booking,Western Europe,CUST-2344,0
49e4c84c,2026-09-01 03:38:00,Card,262.69,EUR,Local Coffee Shop,North America,CUST-8391,0
